hora,EDS,EDN,algo,clima,temp,UTCtime
17:25,1242,2232,03d,Nubes Dispersas,27,2025-01-06T20:25:00Z
17:30,1242,2232,03d,Nubes Dispersas,27,2025-01-06T20:30:00Z
17:35,1242,2232,02d,Algo De Nubes,27,2025-01-06T20:35:00Z
17:40,1242,1006,02d,Algo De Nubes,27,2025-01-06T20:40:00Z
17:45,1242,1006,02d,Algo De Nubes,27,2025-01-06T20:45:00Z
17:50,1242,1006,02d,Algo De Nubes,27,2025-01-06T20:50:00Z
17:55,681,1007,02d,Algo De Nubes,27,2025-01-06T20:55:00Z
18:00,681,1007,02d,Algo De Nubes,27,2025-01-06T21:00:00Z
18:05,681,1007,02d,Algo De Nubes,27,2025-01-06T21:05:00Z
18:10,684,967,02d,Algo De Nubes,27,2025-01-06T21:10:00Z
18:15,684,967,02d,Algo De Nubes,27,2025-01-06T21:15:00Z
18:20,684,967,01d,Cielo Claro,27,2025-01-06T21:20:00Z
18:25,685,996,01d,Cielo Claro,27,2025-01-06T21:25:00Z
18:30,685,996,01d,Cielo Claro,27,2025-01-06T21:30:00Z
18:35,685,996,01d,Cielo Claro,27,2025-01-06T21:35:00Z
18:40,687,3216,01d,Cielo Claro,27,2025-01-06T21:40:00Z
18:45,687,3216,02d,Algo De Nubes,26,2025-01-06T21:45:00Z
18:50,687,3216,01d,Cielo Claro,26,2025-01-06T21:50:00Z
18:55,696,3216,01d,Cielo Claro,26,2025-01-06T21:55:00Z
19:00,696,3216,01d,Cielo Claro,26,2025-01-06T22:00:00Z
19:05,696,3216,01d,Cielo Claro,26,2025-01-06T22:05:00Z
19:10,730,3135,02d,Algo De Nubes,26,2025-01-06T22:10:00Z
19:15,730,3135,02d,Algo De Nubes,26,2025-01-06T22:15:00Z
19:20,730,3135,02d,Algo De Nubes,26,2025-01-06T22:20:00Z
19:25,527,3130,02d,Algo De Nubes,26,2025-01-06T22:25:00Z
19:30,527,3130,01d,Cielo Claro,25,2025-01-06T22:30:00Z
19:35,527,3130,01d,Cielo Claro,25,2025-01-06T22:35:00Z
19:40,527,3130,01d,Cielo Claro,24,2025-01-06T22:40:00Z
19:45,543,3978,01d,Cielo Claro,24,2025-01-06T22:45:00Z
19:50,543,3978,01d,Cielo Claro,24,2025-01-06T22:50:00Z
19:55,543,3978,01d,Cielo Claro,24,2025-01-06T22:55:00Z
20:00,495,2811,01d,Cielo Claro,24,2025-01-06T23:00:00Z
20:05,495,2811,01d,Cielo Claro,24,2025-01-06T23:05:00Z
20:10,495,2811,02d,Algo De Nubes,24,2025-01-06T23:10:00Z
20:15,504,2811,02d,Algo De Nubes,24,2025-01-06T23:15:00Z
20:20,504,2811,01n,Cielo Claro,23,2025-01-06T23:20:00Z
20:25,504,2811,01n,Cielo Claro,23,2025-01-06T23:25:00Z
20:30,507,371,01n,Cielo Claro,23,2025-01-06T23:30:00Z
20:35,507,371,01n,Cielo Claro,23,2025-01-06T23:35:00Z
